kegg,level_1,level_2
K10130,Environmental Information Processing,Signal transduction
K13721,NA,NA
K10139,Cellular Processes,Cell growth and death
K03192,NA,NA
K04628,Metabolism,Lipid metabolism
K12687,NA,NA
K15562,NA,NA
K15563,NA,NA
K15560,NA,NA
K15561,NA,NA
K00965,Metabolism,Carbohydrate metabolism
K00966,Metabolism,Carbohydrate metabolism
K00967,Metabolism,Lipid metabolism
K00960,NA,NA
K14968,NA,NA
K00962,Metabolism,Nucleotide metabolism
K00963,Metabolism,Carbohydrate metabolism
K14965,NA,NA
K14964,NA,NA
K14967,NA,NA
K14966,Organismal Systems,Aging
K14961,NA,NA
K00969,Metabolism,Metabolism of cofactors and vitamins
K14963,NA,NA
K14962,Genetic Information Processing,Translation
K03194,Environmental Information Processing,Membrane transport
K15308,Human Diseases,Infectious diseases
K15134,NA,NA
K15303,Metabolism,Xenobiotics biodegradation and metabolism
K15307,Human Diseases,Infectious diseases
K15304,Human Diseases,Infectious diseases
K15305,Human Diseases,Cancers
K03195,Environmental Information Processing,Membrane transport
K15136,NA,NA
K15646,NA,NA
K15132,NA,NA
K03196,Environmental Information Processing,Membrane transport
K09377,NA,NA
K09373,NA,NA
K09378,Cellular Processes,Cellular commiunity
K02951,Genetic Information Processing,Translation
K08367,Human Diseases,Cancers
K08364,NA,NA
K08365,NA,NA
K08363,NA,NA
K03197,Environmental Information Processing,Membrane transport
K08368,NA,NA
K08369,NA,NA
K01615,Metabolism,Carbohydrate metabolism
K01617,Metabolism,Overview
K01616,NA,NA
K01611,Metabolism,Amino acid metabolism
K01610,Metabolism,Overview
K01613,Metabolism,Lipid metabolism
K01612,Metabolism,Overview
K01619,Metabolism,Carbohydrate metabolism
K02830,Cellular Processes,Cell growth and death
K02831,Cellular Processes,Cell growth and death
K02834,NA,NA
K02835,NA,NA
K02836,NA,NA
K02837,NA,NA
K02838,NA,NA
K02839,NA,NA
K05284,Metabolism,Glycan biosynthesis and metabolism
K05285,Metabolism,Glycan biosynthesis and metabolism
K05281,Metabolism,Biosynthesis of other secondary metabolites
K08884,NA,NA
K03619,NA,NA
K03618,NA,NA
K03617,NA,NA
K03616,NA,NA
K03615,NA,NA
K03614,NA,NA
K03613,NA,NA
K03612,NA,NA
K03611,NA,NA
K03610,NA,NA
K06067,Environmental Information Processing,Signal transduction
K09706,NA,NA
K06065,Environmental Information Processing,Signal transduction
K09704,NA,NA
K06063,Genetic Information Processing,Transcription
K06062,Environmental Information Processing,Signal transduction
K06061,Environmental Information Processing,Signal transduction
K09700,NA,NA
K06069,Environmental Information Processing,Signal transduction
K06068,Cellular Processes,Cellular commiunity
K06391,NA,NA
K06390,NA,NA
K06393,NA,NA
K06392,NA,NA
K06395,NA,NA
K06394,NA,NA
K06397,NA,NA
K06396,NA,NA
K06399,NA,NA
K06398,NA,NA
K10378,NA,NA
K10379,NA,NA
K12477,Cellular Processes,Transport and catabolism
K12476,Cellular Processes,Transport and catabolism
K12471,Cellular Processes,Transport and catabolism
K12472,Cellular Processes,Transport and catabolism
K12478,Cellular Processes,Transport and catabolism
K11078,Environmental Information Processing,Membrane transport
K11079,Environmental Information Processing,Membrane transport
K11074,Environmental Information Processing,Membrane transport
K11075,Environmental Information Processing,Membrane transport
K11076,Environmental Information Processing,Membrane transport
K11077,Environmental Information Processing,Membrane transport
K11070,Environmental Information Processing,Membrane transport
K11071,Environmental Information Processing,Membrane transport
K11072,Environmental Information Processing,Membrane transport
K11073,Environmental Information Processing,Membrane transport
K06935,NA,NA
K06934,NA,NA
K06937,NA,NA
K06936,NA,NA
K06931,NA,NA
K06930,NA,NA
K06933,NA,NA
K09188,Metabolism,Amino acid metabolism
K10307,NA,NA
K02732,Genetic Information Processing,"Folding, sorting and degradation"
K06939,NA,NA
K06938,NA,NA
K01412,NA,NA
K01411,NA,NA
K02730,Genetic Information Processing,"Folding, sorting and degradation"
K15173,Organismal Systems,Endocrine system
K15172,NA,NA
K15175,NA,NA
K05749,Genetic Information Processing,Translation
K15177,NA,NA
K15176,NA,NA
K15179,NA,NA
K15178,NA,NA
K05916,Human Diseases,Infectious diseases
K05917,Metabolism,Lipid metabolism
K05914,NA,NA
K05910,NA,NA
K05919,NA,NA
K00392,Metabolism,Energy metabolism
K00390,Metabolism,Energy metabolism
K00395,Metabolism,Energy metabolism
K10377,NA,NA
K01417,NA,NA
K01228,Metabolism,Glycan biosynthesis and metabolism
K00399,Metabolism,Overview
K01229,Metabolism,Carbohydrate metabolism
K02653,NA,NA
K04618,Metabolism,Carbohydrate metabolism
K01376,NA,NA
K01374,Cellular Processes,Transport and catabolism
K01375,Cellular Processes,Transport and catabolism
K01372,NA,NA
K01373,Cellular Processes,Transport and catabolism
K01371,Cellular Processes,Transport and catabolism
K01225,Metabolism,Carbohydrate metabolism
K09145,NA,NA
K09144,NA,NA
K09146,NA,NA
K09141,NA,NA
K09140,NA,NA
K09143,NA,NA
K09142,NA,NA
K05709,Metabolism,Overview
K05708,Metabolism,Overview
K05879,Metabolism,Lipid metabolism
K05878,Metabolism,Lipid metabolism
K05875,Environmental Information Processing,Signal transduction
K05874,Environmental Information Processing,Signal transduction
K05877,Environmental Information Processing,Signal transduction
K05876,Environmental Information Processing,Signal transduction
K05871,Environmental Information Processing,Signal transduction
K05873,Metabolism,Nucleotide metabolism
K01415,NA,NA
K00579,Metabolism,Overview
K00578,Metabolism,Overview
K00577,Metabolism,Overview
K00575,Environmental Information Processing,Signal transduction
K00574,NA,NA
K00573,NA,NA
K00571,NA,NA
K01404,Human Diseases,Infectious diseases
K01118,NA,NA
K01119,Metabolism,Nucleotide metabolism
K15790,NA,NA
K15792,Metabolism,Amino acid metabolism
K01112,NA,NA
K01113,Metabolism,Metabolism of cofactors and vitamins
K01110,Metabolism,Carbohydrate metabolism
K01111,NA,NA
K01116,Metabolism,Carbohydrate metabolism
K04477,NA,NA
K01114,Metabolism,Carbohydrate metabolism
K01115,Metabolism,Lipid metabolism
K08087,NA,NA
K08086,NA,NA
K08085,NA,NA
K01155,NA,NA
K08083,Environmental Information Processing,Signal transduction
K08082,Environmental Information Processing,Signal transduction
K08081,Metabolism,Biosynthesis of other secondary metabolites
K08080,Metabolism,Carbohydrate metabolism
K01152,NA,NA
K01153,NA,NA
K09826,NA,NA
K14558,Genetic Information Processing,Translation
K01150,NA,NA
K09827,Metabolism,Lipid metabolism
K14554,Genetic Information Processing,Translation
K14555,Genetic Information Processing,Translation
K14556,Genetic Information Processing,Translation
K14557,Genetic Information Processing,Translation
K14550,Genetic Information Processing,Translation
K14551,Genetic Information Processing,Translation
K14552,Genetic Information Processing,Translation
K10373,Organismal Systems,Circulatory system
K09825,NA,NA
K09822,NA,NA
K09823,NA,NA
K10938,Human Diseases,Infectious diseases
K10453,NA,NA
K09821,Organismal Systems,Endocrine system
K09490,Genetic Information Processing,"Folding, sorting and degradation"
K01158,Cellular Processes,Transport and catabolism
K10934,Human Diseases,Infectious diseases
K07520,Organismal Systems,Development
K07523,Environmental Information Processing,Signaling molecules and interaction
K10423,NA,NA
K10754,Genetic Information Processing,Replication and repair
K02139,Metabolism,Energy metabolism
K02138,Metabolism,Energy metabolism
K10755,Genetic Information Processing,Replication and repair
K10752,NA,NA
K02133,Metabolism,Energy metabolism
K02132,Metabolism,Energy metabolism
K02135,Metabolism,Energy metabolism
K02134,Metabolism,Energy metabolism
K02137,Metabolism,Energy metabolism
K02136,Metabolism,Energy metabolism
K03842,Metabolism,Glycan biosynthesis and metabolism
K03843,Metabolism,Glycan biosynthesis and metabolism
K03840,NA,NA
K03841,Metabolism,Overview
K03846,Metabolism,Glycan biosynthesis and metabolism
K03847,Metabolism,Glycan biosynthesis and metabolism
K03844,Metabolism,Glycan biosynthesis and metabolism
K03848,Metabolism,Glycan biosynthesis and metabolism
K03849,Metabolism,Glycan biosynthesis and metabolism
K13799,Metabolism,Nucleotide metabolism
K13798,Metabolism,Nucleotide metabolism
K13025,Genetic Information Processing,Transcription
K13796,NA,NA
K13795,NA,NA
K13794,NA,NA
K13021,NA,NA
K13020,Metabolism,Carbohydrate metabolism
K13791,Human Diseases,Infectious diseases
K13022,NA,NA
K12268,NA,NA
K12269,NA,NA
K04899,NA,NA
K12260,NA,NA
K12261,Cellular Processes,Transport and catabolism
K12262,NA,NA
K12263,NA,NA
K12264,Human Diseases,Infectious diseases
K04891,NA,NA
K12266,Human Diseases,Infectious diseases
K12267,NA,NA
K10759,NA,NA
K12231,NA,NA
K12237,Metabolism,Metabolism of terpenoids and polyketides
K13249,Genetic Information Processing,"Folding, sorting and degradation"
K12891,Genetic Information Processing,Transcription
K13241,Metabolism,Amino acid metabolism
K13243,NA,NA
K12234,Metabolism,Energy metabolism
K13245,Cellular Processes,Cell growth and death
K05529,Metabolism,Glycan biosynthesis and metabolism
K13247,Metabolism,Carbohydrate metabolism
K13246,NA,NA
K12412,Environmental Information Processing,Signal transduction
K03267,Genetic Information Processing,Translation
K03264,Genetic Information Processing,Translation
K03265,Genetic Information Processing,Translation
K03262,Genetic Information Processing,Translation
K03263,NA,NA
K03260,Genetic Information Processing,Translation
K03261,NA,NA
K12417,NA,NA
K03269,Metabolism,Glycan biosynthesis and metabolism
K12142,NA,NA
K13237,Cellular Processes,Transport and catabolism
K10211,Metabolism,Metabolism of terpenoids and polyketides
K03101,Genetic Information Processing,"Folding, sorting and degradation"
K11791,NA,NA
K11795,NA,NA
K01082,Metabolism,Energy metabolism
K11797,NA,NA
K01083,Metabolism,Carbohydrate metabolism
K15359,Metabolism,Metabolism of cofactors and vitamins
K15358,Metabolism,Metabolism of cofactors and vitamins
K12045,Organismal Systems,Circulatory system
K09918,NA,NA
K12047,Metabolism,Carbohydrate metabolism
K12041,NA,NA
K09912,NA,NA
K09913,NA,NA
K09910,NA,NA
K09911,NA,NA
K09916,NA,NA
K09917,NA,NA
K06726,Environmental Information Processing,Membrane transport
K09915,NA,NA
K11535,NA,NA
K11534,NA,NA
K11537,NA,NA
K11240,Environmental Information Processing,Signal transduction
K11531,NA,NA
K11530,NA,NA
K11533,Metabolism,Overview
K11244,Environmental Information Processing,Signal transduction
K11249,NA,NA
K11539,NA,NA
K11538,Metabolism,Amino acid metabolism
K00762,Metabolism,Nucleotide metabolism
K00763,Metabolism,Metabolism of cofactors and vitamins
K00760,Metabolism,Nucleotide metabolism
K00761,Metabolism,Nucleotide metabolism
K00766,Metabolism,Overview
K00767,Metabolism,Metabolism of cofactors and vitamins
K00764,Metabolism,Nucleotide metabolism
K00765,Metabolism,Overview
K00768,Metabolism,Metabolism of cofactors and vitamins
K00769,Metabolism,Nucleotide metabolism
K15125,Human Diseases,Infectious diseases
K00186,Metabolism,Amino acid metabolism
K00187,Metabolism,Amino acid metabolism
K00184,NA,NA
K00185,NA,NA
K00183,NA,NA
K00180,NA,NA
K03433,Genetic Information Processing,"Folding, sorting and degradation"
K00188,Metabolism,Amino acid metabolism
K00189,Metabolism,Amino acid metabolism
K10110,Environmental Information Processing,Membrane transport
K10111,Environmental Information Processing,Membrane transport
K10112,Environmental Information Processing,Membrane transport
K10117,Environmental Information Processing,Membrane transport
K10118,Environmental Information Processing,Membrane transport
K10119,Environmental Information Processing,Membrane transport
K04641,NA,NA
K04640,NA,NA
K04643,NA,NA
K04642,NA,NA
K04646,Cellular Processes,Transport and catabolism
K04649,Genetic Information Processing,"Folding, sorting and degradation"
K04648,Organismal Systems,Excretory system
K15548,NA,NA
K15549,NA,NA
K15540,NA,NA
K15541,Genetic Information Processing,Translation
K15542,Genetic Information Processing,Translation
K15543,Genetic Information Processing,Translation
K15545,NA,NA
K15546,NA,NA
K15547,NA,NA
K00988,Metabolism,Nucleotide metabolism
K00989,NA,NA
K00986,NA,NA
K00987,NA,NA
K00984,NA,NA
K00982,NA,NA
K00983,Metabolism,Carbohydrate metabolism
K00980,Metabolism,Lipid metabolism
K00981,Metabolism,Lipid metabolism
K02051,NA,NA
K06168,NA,NA
K15325,NA,NA
K15326,NA,NA
K15327,NA,NA
K15320,NA,NA
K15321,NA,NA
K15322,NA,NA
K15323,NA,NA
K15328,NA,NA
K15329,NA,NA
K05563,NA,NA
K01585,Metabolism,Amino acid metabolism
K01584,Metabolism,Amino acid metabolism
K01586,Metabolism,Overview
K01581,Metabolism,Amino acid metabolism
K01580,Metabolism,Carbohydrate metabolism
K01583,Metabolism,Amino acid metabolism
K01582,Metabolism,Amino acid metabolism
K13497,Metabolism,Overview
K01589,Metabolism,Nucleotide metabolism
K01588,Metabolism,Nucleotide metabolism
K09355,Human Diseases,Cancers
K09359,Cellular Processes,Cell growth and death
K08340,Cellular Processes,Transport and catabolism
K14946,NA,NA
K08342,Cellular Processes,Transport and catabolism
K08343,Cellular Processes,Transport and catabolism
K08344,NA,NA
K02729,Genetic Information Processing,"Folding, sorting and degradation"
K14941,Metabolism,Energy metabolism
K14940,Metabolism,Energy metabolism
K08348,Environmental Information Processing,Signal transduction
K08349,Environmental Information Processing,Signal transduction
K02726,Genetic Information Processing,"Folding, sorting and degradation"
K14949,Human Diseases,Infectious diseases
K05111,Organismal Systems,Development
K03459,NA,NA
K03458,NA,NA
K03989,Organismal Systems,Immune system
K03988,Organismal Systems,Immune system
K03987,Organismal Systems,Immune system
K03457,NA,NA
K03984,Organismal Systems,Immune system
K03451,NA,NA
K03450,NA,NA
K03453,NA,NA
K03980,Metabolism,Glycan biosynthesis and metabolism
K02614,Metabolism,Amino acid metabolism
K01639,Metabolism,Carbohydrate metabolism
K01638,Metabolism,Overview
K01637,Metabolism,Overview
K01635,Metabolism,Carbohydrate metabolism
K01634,Metabolism,Lipid metabolism
K01633,Metabolism,Metabolism of cofactors and vitamins
K01631,Metabolism,Carbohydrate metabolism
K01630,Metabolism,Carbohydrate metabolism
K14055,NA,NA
K14054,NA,NA
K02858,Metabolism,Metabolism of cofactors and vitamins
K02859,NA,NA
K14051,NA,NA
K14050,NA,NA
K14053,NA,NA
K14052,NA,NA
K02852,NA,NA
K02853,NA,NA
K02850,Metabolism,Glycan biosynthesis and metabolism
K02851,NA,NA
K02584,Environmental Information Processing,Signal transduction
K02585,NA,NA
K02586,Metabolism,Energy metabolism
K02587,NA,NA
K03679,Genetic Information Processing,"Folding, sorting and degradation"
K03678,Genetic Information Processing,"Folding, sorting and degradation"
K03671,NA,NA
K03670,NA,NA
K03673,Human Diseases,Drug resistance
K03672,NA,NA
K03675,NA,NA
K03674,NA,NA
K03676,NA,NA
K09761,NA,NA
K06000,NA,NA
K09762,NA,NA
K06005,NA,NA
K09764,NA,NA
K09767,NA,NA
K06006,NA,NA
K06009,Environmental Information Processing,Signal transduction
K09768,NA,NA
K02610,Metabolism,Amino acid metabolism
K03187,NA,NA
K03186,Metabolism,Metabolism of cofactors and vitamins
K03185,Metabolism,Metabolism of cofactors and vitamins
K03184,Metabolism,Metabolism of cofactors and vitamins
K03183,Metabolism,Metabolism of cofactors and vitamins
K03182,Metabolism,Metabolism of cofactors and vitamins
K03181,Metabolism,Metabolism of cofactors and vitamins
K03189,NA,NA
K03188,NA,NA
K12455,Metabolism,Carbohydrate metabolism
K12454,Metabolism,Carbohydrate metabolism
K12453,Metabolism,Carbohydrate metabolism
K12452,Metabolism,Carbohydrate metabolism
K12450,Metabolism,Carbohydrate metabolism
K07608,NA,NA
K07609,NA,NA
K07358,NA,NA
K07359,Environmental Information Processing,Signal transduction
K07356,NA,NA
K07357,NA,NA
K07354,NA,NA
K07355,NA,NA
K07352,NA,NA
K07353,NA,NA
K07350,NA,NA
K07351,NA,NA
K06919,NA,NA
K06918,NA,NA
K06917,NA,NA
K06916,NA,NA
K06915,NA,NA
K06914,Metabolism,Energy metabolism
K06913,NA,NA
K06911,NA,NA
K06910,NA,NA
K08986,NA,NA
K08987,NA,NA
K08984,NA,NA
K08985,NA,NA
K08982,NA,NA
K08981,NA,NA
K08988,NA,NA
K08989,NA,NA
K15158,NA,NA
K15153,NA,NA
K15152,NA,NA
K15157,NA,NA
K15156,Organismal Systems,Endocrine system
K15155,NA,NA
K15154,NA,NA
K05931,NA,NA
K05934,Metabolism,Metabolism of cofactors and vitamins
K05936,Metabolism,Metabolism of cofactors and vitamins
K05937,NA,NA
K05939,Metabolism,Lipid metabolism
K15265,NA,NA
K10325,NA,NA
K10324,NA,NA
K10323,NA,NA
K10321,NA,NA
K00375,NA,NA
K00374,Metabolism,Energy metabolism
K00376,Metabolism,Energy metabolism
K00371,Metabolism,Energy metabolism
K00370,Metabolism,Energy metabolism
K00373,Metabolism,Energy metabolism
K10328,NA,NA
K09167,NA,NA
K09166,NA,NA
K09165,NA,NA
K09163,NA,NA
K09162,NA,NA
K09161,NA,NA
K09160,NA,NA
K04180,Environmental Information Processing,Signaling molecules and interaction
K01354,Human Diseases,Infectious diseases
K01355,NA,NA
K01356,NA,NA
K05857,Metabolism,Carbohydrate metabolism
K08576,NA,NA
K05855,Environmental Information Processing,Signal transduction
K05601,Metabolism,Energy metabolism
K05853,Environmental Information Processing,Signal transduction
K08572,NA,NA
K05851,Metabolism,Nucleotide metabolism
K08570,Human Diseases,Infectious diseases
K05606,Metabolism,Overview
K05607,Metabolism,Amino acid metabolism
K05604,Metabolism,Amino acid metabolism
K02925,Genetic Information Processing,Translation
K00518,NA,NA
K03800,Metabolism,Metabolism of cofactors and vitamins
K00511,Metabolism,Lipid metabolism
K00510,Metabolism,Metabolism of cofactors and vitamins
K03801,Metabolism,Metabolism of cofactors and vitamins
K00514,Metabolism,Metabolism of terpenoids and polyketides
K00517,Metabolism,Metabolism of terpenoids and polyketides
K09291,Genetic Information Processing,Translation
K09290,Organismal Systems,Circulatory system
K09292,Human Diseases,Cancers
K05972,NA,NA
K03627,NA,NA
K09299,Human Diseases,Cancers
K05973,Metabolism,Carbohydrate metabolism
K08863,Environmental Information Processing,Signal transduction
K05581,Metabolism,Energy metabolism
K05580,Metabolism,Energy metabolism
K05582,Metabolism,Energy metabolism
K05587,Metabolism,Energy metabolism
K05586,Metabolism,Energy metabolism
K05589,NA,NA
K05588,Metabolism,Energy metabolism
K03623,NA,NA
K14208,Organismal Systems,Digestive system
K14209,NA,NA
K03152,NA,NA
K14201,Human Diseases,Infectious diseases
K03621,Metabolism,Lipid metabolism
K14204,Human Diseases,Infectious diseases
K14205,Environmental Information Processing,Signal transduction
K14206,Organismal Systems,Digestive system
K14207,Organismal Systems,Digestive system
K08437,NA,NA
K00581,Metabolism,Overview
K01563,Metabolism,Xenobiotics biodegradation and metabolism
K11691,Environmental Information Processing,Signal transduction
K01134,Metabolism,Lipid metabolism
K01135,Metabolism,Glycan biosynthesis and metabolism
K01136,Metabolism,Glycan biosynthesis and metabolism
K04325,Organismal Systems,Endocrine system
K04450,Environmental Information Processing,Signal transduction
K01131,Metabolism,Lipid metabolism
K01132,Metabolism,Glycan biosynthesis and metabolism
K01133,NA,NA
K01138,NA,NA
K01139,Metabolism,Nucleotide metabolism
K02113,Metabolism,Energy metabolism
K02112,Metabolism,Energy metabolism
K02111,Metabolism,Energy metabolism
K02446,Metabolism,Overview
K02441,NA,NA
K02116,NA,NA
K02443,NA,NA
K02442,NA,NA
K02119,Metabolism,Energy metabolism
K02118,Metabolism,Energy metabolism
K02448,NA,NA
K04516,Metabolism,Overview
K01031,Metabolism,Xenobiotics biodegradation and metabolism
K13007,NA,NA
K13006,NA,NA
K13005,NA,NA
K13004,NA,NA
K13003,NA,NA
K03869,Genetic Information Processing,"Folding, sorting and degradation"
K13001,NA,NA
K13000,NA,NA
K03867,NA,NA
K03860,Metabolism,Glycan biosynthesis and metabolism
K03861,Metabolism,Glycan biosynthesis and metabolism
K13009,NA,NA
K13008,NA,NA
K11547,NA,NA
K06401,NA,NA
K02032,NA,NA
K06400,NA,NA
K11542,NA,NA
K02034,NA,NA
K06954,NA,NA
K05027,Organismal Systems,Endocrine system
K10814,Metabolism,Metabolism of other amino acids
K06959,NA,NA
K06958,NA,NA
K07424,Metabolism,Lipid metabolism
K10810,Metabolism,Metabolism of cofactors and vitamins
K07135,NA,NA
K03240,Genetic Information Processing,Translation
K03241,Genetic Information Processing,Translation
K03242,Genetic Information Processing,Translation
K03243,Genetic Information Processing,Translation
K03245,Genetic Information Processing,Translation
K03248,Genetic Information Processing,Translation
K06503,Environmental Information Processing,Signal transduction
K10144,Genetic Information Processing,"Folding, sorting and degradation"
K12202,NA,NA
K12203,NA,NA
K12200,Cellular Processes,Transport and catabolism
K12206,NA,NA
K12204,NA,NA
K12205,NA,NA
K12209,NA,NA
K13911,Organismal Systems,Digestive system
K13910,Organismal Systems,Digestive system
K13912,Organismal Systems,Digestive system
K13919,Metabolism,Carbohydrate metabolism
K13918,NA,NA
K09934,NA,NA
K06215,Metabolism,Metabolism of cofactors and vitamins
K06216,NA,NA
K06217,NA,NA
K06210,Metabolism,Metabolism of cofactors and vitamins
K06211,Metabolism,Metabolism of cofactors and vitamins
K06212,NA,NA
K09933,NA,NA
K14430,NA,NA
K06218,NA,NA
K06219,NA,NA
K13656,NA,NA
K09224,NA,NA
K11519,Genetic Information Processing,"Folding, sorting and degradation"
K11518,Human Diseases,Neurodegenerative diseases
K11517,Metabolism,Overview
K13652,NA,NA
K11515,NA,NA
K11512,NA,NA
K13653,NA,NA
K00748,Metabolism,Glycan biosynthesis and metabolism
K00749,NA,NA
K00745,NA,NA
K00746,Metabolism,Glycan biosynthesis and metabolism
K14438,NA,NA
K00742,Metabolism,Glycan biosynthesis and metabolism
K00743,Metabolism,Glycan biosynthesis and metabolism
K03155,NA,NA
K07165,NA,NA
K15513,NA,NA
K07167,NA,NA
K07166,NA,NA
K07161,NA,NA
K07160,NA,NA
K07163,NA,NA
K07162,NA,NA
K11134,NA,NA
K07169,NA,NA
K07168,NA,NA
K15510,NA,NA
K15516,Genetic Information Processing,Translation
K15515,NA,NA
K05543,NA,NA
K10170,Organismal Systems,Immune system
K15514,NA,NA
K06336,NA,NA
K15522,NA,NA
K15523,NA,NA
K15520,NA,NA
K15521,NA,NA
K15526,NA,NA
K15527,NA,NA
K15524,NA,NA
K15525,NA,NA
K01835,Metabolism,Carbohydrate metabolism
K01834,Metabolism,Overview
K15528,Organismal Systems,Nervous system
K01836,Metabolism,Carbohydrate metabolism
K03150,Metabolism,Metabolism of cofactors and vitamins
K01833,Metabolism,Metabolism of other amino acids
K03151,Metabolism,Metabolism of cofactors and vitamins
K03153,Metabolism,Metabolism of cofactors and vitamins
K14693,NA,NA
K14692,NA,NA
K08328,Organismal Systems,Sensory system
K08329,Cellular Processes,Transport and catabolism
K14697,NA,NA
K14696,NA,NA
K08322,Metabolism,Carbohydrate metabolism
K08323,Metabolism,Carbohydrate metabolism
K08320,NA,NA
K08321,NA,NA
K08326,NA,NA
K08324,Metabolism,Carbohydrate metabolism
K08325,Metabolism,Carbohydrate metabolism
K01659,Metabolism,Carbohydrate metabolism
K01658,Metabolism,Overview
K01653,Metabolism,Overview
K01652,Metabolism,Overview
K01655,Metabolism,Overview
K01654,Metabolism,Carbohydrate metabolism
K01657,Metabolism,Overview
K01656,Metabolism,Overview
K02874,Genetic Information Processing,Translation
K02875,Genetic Information Processing,Translation
K02876,Genetic Information Processing,Translation
K02877,Genetic Information Processing,Translation
K02870,Genetic Information Processing,Translation
K02871,Genetic Information Processing,Translation
K02872,Genetic Information Processing,Translation
K02873,Genetic Information Processing,Translation
K02878,Genetic Information Processing,Translation
K02879,Genetic Information Processing,Translation
K14079,NA,NA
K14078,Organismal Systems,Digestive system
K09749,NA,NA
K09748,NA,NA
K06023,NA,NA
K06022,NA,NA
K09741,NA,NA
K09740,NA,NA
K09747,NA,NA
K09746,NA,NA
K06024,NA,NA
K03477,NA,NA
K03476,Metabolism,Carbohydrate metabolism
K03475,Metabolism,Carbohydrate metabolism
K03474,Metabolism,Metabolism of cofactors and vitamins
K03473,Metabolism,Metabolism of cofactors and vitamins
K03472,Metabolism,Metabolism of cofactors and vitamins
K03471,Genetic Information Processing,Replication and repair
K03470,Genetic Information Processing,Replication and repair
K03478,NA,NA
K02307,Cellular Processes,Cell growth and death
K02304,Metabolism,Metabolism of cofactors and vitamins
K02302,Metabolism,Metabolism of cofactors and vitamins
K02303,Metabolism,Metabolism of cofactors and vitamins
K02300,Metabolism,Energy metabolism
K02301,Metabolism,Energy metabolism
K02308,Environmental Information Processing,Signal transduction
K02309,Cellular Processes,Cell growth and death
K00978,Metabolism,Carbohydrate metabolism
K03653,NA,NA
K03652,Genetic Information Processing,Replication and repair
K03651,NA,NA
K03650,NA,NA
K03657,Genetic Information Processing,Replication and repair
K03656,NA,NA
K03655,Genetic Information Processing,Replication and repair
K03654,Genetic Information Processing,"Folding, sorting and degradation"
K03658,NA,NA
K06753,Organismal Systems,Development
K06689,Genetic Information Processing,"Folding, sorting and degradation"
K06688,Genetic Information Processing,"Folding, sorting and degradation"
K06687,Cellular Processes,Cell growth and death
K06686,Cellular Processes,Cell growth and death
K06685,Environmental Information Processing,Signal transduction
K06684,Cellular Processes,Cell growth and death
K06683,Cellular Processes,Cell growth and death
K06682,Cellular Processes,Cell growth and death
K06681,Cellular Processes,Cell growth and death
K06680,Cellular Processes,Cell growth and death
K12431,NA,NA
K12430,NA,NA
K12433,NA,NA
K12432,NA,NA
K12435,NA,NA
K12434,NA,NA
K12437,NA,NA
K12436,NA,NA
K07378,Environmental Information Processing,Signaling molecules and interaction
K07371,Environmental Information Processing,Signal transduction
K07375,Cellular Processes,Transport and catabolism
K07376,Environmental Information Processing,Signal transduction
K07377,Environmental Information Processing,Signaling molecules and interaction
K06979,NA,NA
K06978,NA,NA
K06971,NA,NA
K06970,NA,NA
K06973,NA,NA
K06972,NA,NA
K06975,NA,NA
K06974,NA,NA
K06977,NA,NA
K06976,NA,NA
K07082,NA,NA
K07083,NA,NA
K07080,NA,NA
K07081,NA,NA
K07087,NA,NA
K07084,NA,NA
K07085,NA,NA
K07088,NA,NA
K07089,NA,NA
K01313,Environmental Information Processing,Signaling molecules and interaction
K11166,NA,NA
K11164,NA,NA
K11165,NA,NA
K11162,NA,NA
K11163,NA,NA
K11161,NA,NA
K11168,NA,NA
K11169,NA,NA
K09956,NA,NA
K00355,Metabolism,Metabolism of cofactors and vitamins
K00354,NA,NA
K00351,NA,NA
K00350,NA,NA
K05952,NA,NA
K05953,NA,NA
K05956,NA,NA
K05957,Metabolism,Biosynthesis of other secondary metabolites
K05954,Metabolism,Metabolism of terpenoids and polyketides
K05955,Metabolism,Metabolism of terpenoids and polyketides
K00689,Metabolism,Carbohydrate metabolism
K00688,Metabolism,Carbohydrate metabolism
K10342,NA,NA
K00681,Metabolism,Metabolism of other amino acids
K00680,Metabolism,Amino acid metabolism
K00683,NA,NA
K00682,Metabolism,Metabolism of other amino acids
K00685,NA,NA
K00684,NA,NA
K00687,Metabolism,Glycan biosynthesis and metabolism
K00686,NA,NA
K09102,NA,NA
K09104,NA,NA
K09951,NA,NA
K05831,Metabolism,Overview
K05830,Metabolism,Overview
K05833,NA,NA
K05832,NA,NA
K05835,NA,NA
K05834,NA,NA
K05837,NA,NA
K08516,Genetic Information Processing,"Folding, sorting and degradation"
K05839,NA,NA
K08518,NA,NA
K07901,Environmental Information Processing,Signal transduction
K00533,NA,NA
K00532,NA,NA
K00531,Metabolism,Energy metabolism
K00537,NA,NA
K00534,NA,NA
K10512,NA,NA
K07904,Cellular Processes,Transport and catabolism
K14262,NA,NA
K14263,Metabolism,Carbohydrate metabolism
K14260,Metabolism,Overview
K14261,NA,NA
K14266,Metabolism,Biosynthesis of other secondary metabolites
K14267,Metabolism,Overview
K14264,Metabolism,Amino acid metabolism
K14265,Metabolism,Amino acid metabolism
K14268,Metabolism,Carbohydrate metabolism
K01330,Cellular Processes,Transport and catabolism
K01336,NA,NA
K01337,NA,NA
K01335,Organismal Systems,Immune system
